Id,Codigo,Descripcion,CreadoPor,FechaCreacion,ModificadoPor,FechaModificacion,CreadoPorId,ModificadoPorId
433,46692,Venta al por mayor de productos intermedios y desechos de origen textil,,,,,,
434,46693,Venta al por mayor de productos intermedios y desechos de origen metálico,,,,,,
435,46694,Venta al por mayor de productos intermedios y desechos de papel y cartón,,,,,,
436,46695,"Venta al por mayor fertilizantes, abonos, agroquímicos y productos similares",,,,,,
437,46696,Venta al por mayor de productos intermedios y desechos de origen plástico,,,,,,
438,46697,"Venta al por mayor de tintas para imprenta, productos curtientes y materias y productos colorantes",,,,,,
439,46698,Venta de productos intermedios y desechos de origen químico y de caucho,,,,,,
440,46699,Venta al por mayor de productos intermedios y desechos ncp,,,,,,
441,46701,Venta de algodón en oro,,,,,,
442,46900,Venta al por mayor de otros productos,,,,,,
443,46901,Venta al por mayor de cohetes y otros productos pirotécnicos,,,,,,
444,46902,Venta al por mayor de artículos diversos para consumo humano,,,,,,
445,46903,"Venta al por mayor de armas de fuego, municiones y accesorios",,,,,,
446,46904,Venta al por mayor de toldos y tiendas de campaña de cualquier material,,,,,,
447,46905,Venta al por mayor de exhibidores publicitarios y rótulos,,,,,,
448,46906,Venta al por mayor de artículos promocionales diversos,,,,,,
449,47111,Venta en supermercados,,,,,,
450,47112,Venta en tiendas de artículos de primera necesidad,,,,,,
451,47119,Almacenes (venta de diversos artículos),,,,,,
452,47190,Venta al por menor de otros productos en comercios no especializados,,,,,,
453,47199,"Venta de establecimientos no especializados con surtido compuesto principalmente de alimentos, bebidas y tabaco",,,,,,
454,47211,Venta al por menor de frutas y hortalizas,,,,,,
455,47212,"Venta al por menor de carnes, embutidos y productos de granja",,,,,,
456,47213,Venta al por menor de pescado y mariscos,,,,,,
457,47214,Venta al por menor de productos lácteos,,,,,,
458,47215,"Venta al por menor de productos de panadería, repostería y galletas",,,,,,
459,47216,Venta al por menor de huevos,,,,,,
460,47217,Venta al por menor de carnes y productos cárnicos,,,,,,
461,47218,Venta al por menor de granos básicos y otros,,,,,,
462,47219,Venta al por menor de alimentos n.c.p.,,,,,,
463,47221,Venta al por menor de hielo,,,,,,
464,47223,"Venta de bebidas no alcohólicas, para su consumo fuera del establecimiento",,,,,,
465,47224,"Venta de bebidas alcohólicas, para su consumo fuera del establecimiento",,,,,,
466,47225,Venta de bebidas alcohólicas para su consumo dentro del establecimiento,,,,,,
467,47230,Venta al por menor de tabaco,,,,,,
468,47300,"Venta de combustibles, lubricantes y otros (gasolineras)",,,,,,
469,47411,Venta al por menor de computadoras y equipo periférico,,,,,,
470,47412,Venta de equipo y accesorios de telecomunicación,,,,,,
471,47420,Venta al por menor de equipo de audio y video,,,,,,
472,47510,"Venta al por menor de hilados, tejidos y productos textiles de mercería, confecciones para el hogar y textiles n.c.p.",,,,,,
473,47521,Venta al por menor de productos de madera,,,,,,
474,47522,Venta al por menor de artículos de ferretería,,,,,,
475,47523,Venta al por menor de productos de pinturerías,,,,,,
476,47524,Venta al por menor en vidrierías,,,,,,
477,47529,Venta al por menor de materiales de construcción y artículos conexos,,,,,,
478,47530,"Venta al por menor de tapices, alfombras y revestimientos de paredes y pisos en comercios especializados",,,,,,
479,47591,Venta al por menor de muebles,,,,,,
480,47592,Venta al por menor de artículos de bazar,,,,,,
481,47593,"Venta al por menor de aparatos electrodomésticos, repuestos y accesorios",,,,,,
482,47594,Venta al por menor de artículos eléctricos y de iluminación,,,,,,
483,47598,Venta al por menor de instrumentos musicales,,,,,,
484,47610,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados",,,,,,
485,47620,"Venta al por menor de discos láser, cassettes, cintas de video y otros",,,,,,
486,47630,Venta al por menor de productos y equipos de deporte,,,,,,
487,47631,"Venta al por menor de bicicletas, accesorios y repuestos",,,,,,
488,47640,Venta al por menor de juegos y juguetes en comercios especializados,,,,,,
489,47711,Venta al por menor de prendas de vestir y accesorios de vestir,,,,,,
490,47712,Venta al por menor de calzado,,,,,,
491,47713,"Venta al por menor de artículos de peletería, marroquinería y talabartería",,,,,,
492,47721,"Venta al por menor de medicamentos farmacéuticos y otros materiales y artículos de uso médico, odontológico y veterinario",,,,,,
493,47722,Venta al por menor de productos cosméticos y de tocador,,,,,,
494,47731,"Venta al por menor de productos de joyería, bisutería, óptica, relojería",,,,,,
495,47732,"Venta al por menor de plantas, semillas, animales y artículos conexos",,,,,,
496,47733,Venta al por menor de combustibles de uso doméstico (gas propano y gas licuado),,,,,,
497,47734,"Venta al por menor de artesanías, artículos cerámicos y recuerdos en general",,,,,,
498,47735,"Venta al por menor de ataúdes, lápidas y cruces, trofeos, artículos religiosos en general",,,,,,
499,47736,"Venta al por menor de armas de fuego, municiones y accesorios",,,,,,
500,47737,Venta al por menor de artículos de cohetería y pirotécnicos,,,,,,
501,47738,"Venta al por menor de artículos desechables de uso personal y doméstico (servilletas, papel higiénico, pañales, toallas sanitarias, etc.)",,,,,,
502,47739,Venta al por menor de otros productos n.c.p.,,,,,,
503,47741,Venta al por menor de artículos usados,,,,,,
504,47742,Venta al por menor de textiles y confecciones usados,,,,,,
505,47743,"Venta al por menor de libros, revistas, papel y cartón usados",,,,,,
506,47749,Venta al por menor de productos usados n.c.p.,,,,,,
507,47811,"Venta al por menor de frutas, verduras y hortalizas",,,,,,
508,47814,Venta al por menor de productos lácteos,,,,,,
509,47815,"Venta al por menor de productos de panadería, galletas y similares",,,,,,
510,47816,Venta al por menor de bebidas,,,,,,
511,47818,Venta al por menor en tiendas de mercado y puestos,,,,,,
512,47821,"Venta al por menor de hilados, tejidos y productos textiles de mercería en puestos de mercados y ferias",,,,,,
513,47822,Venta al por menor de artículos textiles excepto confecciones para el hogar en puestos de mercados y ferias,,,,,,
514,47823,Venta al por menor de confecciones textiles para el hogar en puestos de mercados y ferias,,,,,,
515,47824,"Venta al por menor de prendas de vestir, accesorios de vestir y similares en puestos de mercados y ferias",,,,,,
516,47825,Venta al por menor de ropa usada,,,,,,
517,47826,"Venta al por menor de calzado, artículos de marroquinería y talabartería en puestos de mercados y ferias",,,,,,
518,47827,Venta al por menor de artículos de marroquinería y talabartería en puestos de mercados y ferias,,,,,,
519,47829,Venta al por menor de artículos textiles ncp en puestos de mercados y ferias,,,,,,
520,47891,"Venta al por menor de animales, flores y productos conexos en puestos de feria y mercados",,,,,,
521,47892,"Venta al por menor de productos medicinales, cosméticos, de tocador y de limpieza en puestos de ferias y mercados",,,,,,
522,47893,Venta al por menor de artículos de bazar en puestos de ferias y mercados,,,,,,
523,47894,"Venta al por menor de artículos de papel, envases, libros, revistas y conexos en puestos de feria y mercados",,,,,,
524,47895,"Venta al por menor de materiales de construcción, electrodomésticos, accesorios para autos y similares en puestos de feria y mercados",,,,,,
525,47896,Venta al por menor de equipos accesorios para las comunicaciones en puestos de feria y mercados,,,,,,
526,47899,Venta al por menor en puestos de ferias y mercados n.c.p.,,,,,,
527,47910,Venta al por menor por correo o Internet,,,,,,
528,47990,"Otros tipos de venta al por menor no realizada, en almacenes, puestos de venta o mercado",,,,,,
529,49110,Transporte interurbano de pasajeros por ferrocarril,,,,,,
530,49120,Transporte de carga por ferrocarril,,,,,,
531,49211,Transporte de pasajeros urbanos e interurbano mediante buses,,,,,,
532,49212,Transporte de pasajeros interdepartamental mediante microbuses,,,,,,
533,49213,Transporte de pasajeros urbanos e interurbano mediante microbuses,,,,,,
534,49214,Transporte de pasajeros interdepartamental mediante buses,,,,,,
535,49221,Transporte internacional de pasajeros,,,,,,
536,49222,Transporte de pasajeros mediante taxis y autos con chofer,,,,,,
537,49223,Transporte escolar,,,,,,
538,49225,Transporte de pasajeros para excursiones,,,,,,
539,49226,Servicios de transporte de personal,,,,,,
540,49229,Transporte de pasajeros por vía terrestre ncp,,,,,,
541,49231,Transporte de carga urbano,,,,,,
542,49232,Transporte nacional de carga,,,,,,
543,49233,Transporte de carga internacional,,,,,,
544,49234,Servicios de mudanza,,,,,,
545,49235,Alquiler de vehículos de carga con conductor,,,,,,
546,49300,Transporte por oleoducto o gasoducto,,,,,,
547,50110,Transporte de pasajeros marítimo y de cabotaje,,,,,,
548,50120,Transporte de carga marítimo y de cabotaje,,,,,,
549,50211,Transporte de pasajeros por vías de navegación interiores,,,,,,
550,50212,Alquiler de equipo de transporte de pasajeros por vías de navegación interior con conductor,,,,,,
551,50220,Transporte de carga por vías de navegación interiores,,,,,,
552,51100,Transporte aéreo de pasajeros,,,,,,
553,51201,Transporte de carga por vía aérea,,,,,,
554,51202,Alquiler de equipo de aerotransporte con operadores para el propósito de transportar carga,,,,,,
555,52101,Alquiler de instalaciones de almacenamiento en zonas francas,,,,,,
556,52102,Alquiler de silos para conservación y almacenamiento de granos,,,,,,
557,52103,Alquiler de instalaciones con refrigeración para almacenamiento y conservación de alimentos y otros productos,,,,,,
558,52109,Alquiler de bodegas para almacenamiento y depósito n.c.p.,,,,,,
559,52211,Servicio de garaje y estacionamiento,,,,,,
560,52212,Servicios de terminales para el transporte por vía terrestre,,,,,,
561,52219,Servicios para el transporte por vía terrestre n.c.p.,,,,,,
562,52220,Servicios para el transporte acuático,,,,,,
563,52230,Servicios para el transporte aéreo,,,,,,
564,52240,Manipulación de carga,,,,,,
565,52290,Servicios para el transporte ncp,,,,,,
566,52291,Agencias de tramitaciones aduanales,,,,,,
567,53100,Servicios de correo nacional,,,,,,
568,53200,Actividades de correo distintas a las actividades postales nacionales,,,,,,
569,55101,Actividades de alojamiento para estancias cortas,,,,,,
570,55102,Hoteles,,,,,,
571,55200,"Actividades de campamentos, parques de vehículos de recreo y parques de caravanas",,,,,,
572,55900,Alojamiento n.c.p.,,,,,,
573,56101,Restaurantes,,,,,,
574,56106,Pupusería,,,,,,
575,56107,Actividades varias de restaurantes,,,,,,
576,56108,Comedores,,,,,,
577,56109,Merenderos ambulantes,,,,,,
578,56210,Preparación de comida para eventos especiales,,,,,,
579,56291,Servicios de provisión de comidas por contrato,,,,,,
580,56292,Servicios de concesión de cafetines y chalet en empresas e instituciones,,,,,,
581,56299,Servicios de preparación de comidas ncp,,,,,,
582,56301,Servicio de expendio de bebidas en salones y bares,,,,,,
583,56302,"Servicio de expendio de bebidas en puestos callejeros, mercados y ferias",,,,,,
584,58110,"Edición de libros, folletos, partituras y otras ediciones distintas a estas",,,,,,
585,58120,Edición de directorios y listas de correos,,,,,,
586,58130,"Edición de periódicos, revistas y otras publicaciones periódicas",,,,,,
587,58190,Otras actividades de edición,,,,,,
588,58200,Edición de programas informáticos (software),,,,,,
589,59110,Actividades de producción cinematográfica,,,,,,
590,59120,"Actividades de post producción de películas, videos y programas de televisión",,,,,,
591,59130,"Actividades de distribución de películas cinematográficas, videos y programas de televisión",,,,,,
592,59140,Actividades de exhibición de películas cinematográficas y cintas de vídeo,,,,,,
593,59200,Actividades de edición y grabación de música,,,,,,
594,60100,Servicios de difusiones de radio,,,,,,
595,60201,Actividades de programación y difusión de televisión abierta,,,,,,
596,60202,Actividades de suscripción y difusión de televisión por cable y/o suscripción,,,,,,
597,60299,"Servicios de televisión, incluye televisión por cable",,,,,,
598,60900,Programación y transmisión de radio y televisión,,,,,,
599,61101,Servicio de telefonía,,,,,,
600,61102,Servicio de Internet,,,,,,
601,61103,Servicio de telefonía fija,,,,,,
602,61109,Servicio de Internet n.c.p.,,,,,,
603,61201,Servicios de telefonía celular,,,,,,
604,61202,Servicios de Internet inalámbrico,,,,,,
605,61209,Servicios de telecomunicaciones inalámbrico n.c.p.,,,,,,
606,61301,Telecomunicaciones satelitales,,,,,,
607,61309,Comunicación vía satélite n.c.p.,,,,,,
608,61900,Actividades de telecomunicación n.c.p.,,,,,,
609,62010,Programación informática,,,,,,
610,62020,Consultorías y gestión de servicios informáticos,,,,,,
611,62090,Otras actividades de tecnología de información y servicios de computadora,,,,,,
612,63110,Procesamiento de datos y actividades relacionadas,,,,,,
613,63120,Portales WEB,,,,,,
614,63910,Servicios de Agencias de Noticias,,,,,,
615,63990,Otros servicios de información n.c.p.,,,,,,
616,64110,Servicios provistos por el Banco Central de El salvador,,,,,,
617,64190,Bancos,,,,,,
618,64192,Entidades dedicadas al envío de remesas,,,,,,
619,64199,Otras entidades financieras,,,,,,
620,64200,Actividades de sociedades de cartera,,,,,,
621,64300,"Fideicomisos, fondos y otras fuentes de financiamiento",,,,,,
622,64910,Arrendamientos financieros,,,,,,
623,64920,Asociaciones cooperativas de ahorro y crédito dedicadas a la intermediación financiera,,,,,,
624,64921,Instituciones emisoras de tarjetas de crédito y otros,,,,,,
625,64922,Tipos de crédito ncp,,,,,,
626,64928,Prestamistas y casas de empeño,,,,,,
627,64990,"Actividades de servicios financieros, excepto la financiación de planes de seguros y de pensiones n.c.p.",,,,,,
628,65110,Planes de seguros de vida,,,,,,
629,65120,Planes de seguro excepto de vida,,,,,,
630,65199,Seguros generales de todo tipo,,,,,,
631,65200,Planes se seguro,,,,,,
632,65300,Planes de pensiones,,,,,,
633,66110,Administración de mercados financieros (Bolsa de Valores),,,,,,
634,66120,Actividades bursátiles (Corredores de Bolsa),,,,,,
635,66190,Actividades auxiliares de la intermediación financiera ncp,,,,,,
636,66210,Evaluación de riesgos y daños,,,,,,
637,66220,Actividades de agentes y corredores de seguros,,,,,,
638,66290,Otras actividades auxiliares de seguros y fondos de pensiones,,,,,,
639,66300,Actividades de administración de fondos,,,,,,
640,68101,Servicio de alquiler y venta de lotes en cementerios,,,,,,
641,68109,Actividades inmobiliarias realizadas con bienes propios o arrendados n.c.p.,,,,,,
642,68200,Actividades Inmobiliarias Realizadas a Cambio de una Retribución o por Contrata,,,,,,
643,69100,Actividades jurídicas,,,,,,
644,69200,"Actividades de contabilidad, teneduría de libros y auditoría, asesoramiento en materia de impuestos",,,,,,
645,70100,Actividades de oficinas centrales de sociedades de cartera,,,,,,
646,70200,Actividades de consultoría en gestión empresarial,,,,,,
647,71101,Servicios de arquitectura y planificación urbana y servicios conexos,,,,,,
648,71102,Servicios de ingeniería,,,,,,
649,71103,"Servicios de agrimensura, topografía, cartografía, prospección y geofísica y servicios conexos",,,,,,
650,71200,Ensayos y análisis técnicos,,,,,,
651,72100,Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería,,,,,,
652,72199,Investigaciones científicas,,,,,,
653,72200,Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades científica y desarrollo,,,,,,
654,73100,Publicidad,,,,,,
655,73200,Investigación de mercados y realización de encuestas de opinión pública,,,,,,
656,74100,Actividades de diseño especializado,,,,,,
657,74200,Actividades de fotografía,,,,,,
658,74900,Servicios profesionales y científicos ncp,,,,,,
659,75000,Actividades veterinarias,,,,,,
660,77101,Alquiler de equipo de transporte terrestre,,,,,,
661,77102,Alquiler de equipo de transporte acuático,,,,,,
662,77103,Alquiler de equipo de transporte por vía aérea,,,,,,
663,77210,Alquiler y arrendamiento de equipo de recreo y deportivo,,,,,,
664,77220,Alquiler de cintas de video y discos,,,,,,
665,77290,Alquiler de otros efectos personales y enseres domésticos,,,,,,
666,77300,Alquiler de maquinaria y equipo,,,,,,
667,77400,Arrendamiento de productos de propiedad intelectual,,,,,,
668,78100,Obtención y dotación de personal,,,,,,
669,78200,Actividades de las agencias de trabajo temporal,,,,,,
670,78300,"Dotación de recursos humanos y gestión, gestión de las funciones de recursos humanos",,,,,,
671,79110,"Actividades de agencias de viajes y organizadores de viajes, actividades de asistencia a turistas",,,,,,
672,79120,Actividades de los operadores turísticos,,,,,,
673,79900,Otros servicios de reservas y actividades relacionadas,,,,,,
674,80100,Servicios de seguridad privados,,,,,,
675,80201,Actividades de servicios de sistemas de seguridad,,,,,,
676,80202,Actividades para la prestación de sistemas de seguridad,,,,,,
677,80300,Actividades de investigación,,,,,,
678,81100,Actividades combinadas de mantenimiento de edificios e instalaciones,,,,,,
679,81210,Limpieza general de edificios,,,,,,
680,81290,Otras actividades combinadas de mantenimiento de edificios e instalaciones ncp,,,,,,
681,81300,Servicio de jardinería,,,,,,
682,82110,Servicios administrativos de oficinas,,,,,,
683,82190,"Servicio de fotocopiado y similares, excepto en imprentas",,,,,,
684,82200,Actividades de las centrales de llamadas (call center),,,,,,
685,82300,Organización de convenciones y ferias de negocios,,,,,,
686,82910,Actividades de agencias de cobro y oficinas de crédito,,,,,,
687,82921,Servicios de envase y empaque de productos alimenticios,,,,,,
688,82922,Servicios de envase y empaque de productos medicinales,,,,,,
689,82929,Servicio de envase y empaque ncp,,,,,,
690,82990,Actividades de apoyo empresariales ncp,,,,,,
691,84110,Actividades de la Administración Pública en general,,,,,,
692,84111,Alcaldías municipales,,,,,,
693,84120,"Regulación de las actividades de prestación de servicios sanitarios, educativos, culturales y otros servicios sociales, excepto seguridad social",,,,,,
694,84130,Regulación y facilitación de la actividad económica,,,,,,
695,84210,Actividades de administración y funcionamiento del Ministerio de Relaciones Exteriores,,,,,,
696,84220,Actividades de defensa,,,,,,
697,84230,Actividades de mantenimiento del orden público y de seguridad,,,,,,
698,84300,Actividades de planes de seguridad social de afiliación obligatoria,,,,,,
699,85101,Guardería educativa,,,,,,
700,85102,Enseñanza preescolar o parvularia,,,,,,
701,85103,Enseñanza primaria,,,,,,
702,85104,Servicio de educación preescolar y primaria integrada,,,,,,
703,85211,"Enseñanza secundaria tercer ciclo (7°, 8° y 9°)",,,,,,
704,85212,Enseñanza secundaria de formación general bachillerato,,,,,,
705,85221,Enseñanza secundaria de formación técnica y profesional,,,,,,
706,85222,Enseñanza secundaria de formación técnica y profesional integrada con enseñanza primaria,,,,,,
707,85301,Enseñanza superior universitaria,,,,,,
708,85302,Enseñanza superior no universitaria,,,,,,
709,85303,Enseñanza superior integrada a educación secundaria y/o primaria,,,,,,
710,85410,Educación deportiva y recreativa,,,,,,
711,85420,Educación cultural,,,,,,
712,85490,Otros tipos de enseñanza n.c.p.,,,,,,
713,85499,Enseñanza formal,,,,,,
714,85500,Servicios de apoyo a la enseñanza,,,,,,
715,86100,Actividades de hospitales,,,,,,
716,86201,Clínicas médicas,,,,,,
717,86202,Servicios de Odontología,,,,,,
718,86203,Servicios médicos,,,,,,
719,86901,Servicios de análisis y estudios de diagnóstico,,,,,,
720,86902,Actividades de atención de la salud humana,,,,,,
721,86909,Otros Servicio relacionados con la salud ncp,,,,,,
722,87100,Residencias de ancianos con atención de enfermería,,,,,,
723,87200,"Instituciones dedicadas al tratamiento del retraso mental, problemas de salud mental y el uso indebido de sustancias nocivas",,,,,,
724,87300,Instituciones dedicadas al cuidado de ancianos y discapacitados,,,,,,
725,87900,Actividades de asistencia a niños y jóvenes,,,,,,
726,87901,Otras actividades de atención en instituciones,,,,,,
727,88100,Actividades de asistencia sociales sin alojamiento para ancianos y discapacitados,,,,,,
728,88900,Servicios sociales sin alojamiento ncp,,,,,,
729,90000,Actividades creativas artísticas y de esparcimiento,,,,,,
730,91010,Actividades de bibliotecas y archivos,,,,,,
731,91020,Actividades de museos y preservación de lugares y edificios históricos,,,,,,
732,91030,"Actividades de jardines botánicos, zoológicos y de reservas naturales",,,,,,
733,92000,Actividades de juegos y apuestas,,,,,,
734,93110,Gestión de instalaciones deportivas,,,,,,
735,93120,Actividades de clubes deportivos,,,,,,
736,93190,Otras actividades deportivas,,,,,,
737,93210,Actividades de parques de atracciones y parques temáticos,,,,,,
738,93291,Discotecas y salas de baile,,,,,,
739,93298,Centros vacacionales,,,,,,
740,93299,Actividades de esparcimiento ncp,,,,,,
741,94110,Actividades de organizaciones empresariales y de empleadores,,,,,,
742,94120,Actividades de organizaciones profesionales,,,,,,
743,94200,Actividades de sindicatos,,,,,,
744,94910,Actividades de organizaciones religiosas,,,,,,
745,94920,Actividades de organizaciones políticas,,,,,,
746,94990,Actividades de asociaciones n.c.p.,,,,,,
747,95110,Reparación de computadoras y equipo periférico,,,,,,
748,95120,Reparación de equipo de comunicación,,,,,,
749,95210,Reparación de aparatos electrónicos de consumo,,,,,,
750,95220,Reparación de aparatos doméstico y equipo de hogar y jardín,,,,,,
751,95230,Reparación de calzado y artículos de cuero,,,,,,
752,95240,Reparación de muebles y accesorios para el hogar,,,,,,
753,95291,Reparación de Instrumentos musicales,,,,,,
754,95292,Servicios de cerrajería y copiado de llaves,,,,,,
755,95293,Reparación de joyas y relojes,,,,,,
756,95294,"Reparación de bicicletas, sillas de ruedas y rodados n.c.p.",,,,,,
757,95299,Reparaciones de enseres personales n.c.p.,,,,,,
758,96010,"Lavado y limpieza de prendas de tela y de piel, incluso la limpieza en seco",,,,,,
759,96020,Peluquería y otros tratamientos de belleza,,,,,,
760,96030,Pompas fúnebres y actividades conexas,,,,,,
761,96091,Servicios de sauna y otros servicios para la estética corporal n.c.p.,,,,,,
762,96092,Servicios n.c.p.,,,,,,
763,97000,Actividad de los hogares en calidad de empleadores de personal doméstico,,,,,,
764,98100,Actividades indiferenciadas de producción de bienes de los hogares privados para uso propio,,,,,,
765,98200,Actividades indiferenciadas de producción de servicios de los hogares privados para uso propio,,,,,,
766,99000,Actividades de organizaciones y órganos extraterritoriales,,,,,,
767,10001,Empleados,,,,,,
768,10002,Jubilado,,,,,,
769,10003,Estudiante,,,,,,
770,10004,Desempleado,,,,,,
771,10005,Otros,,,,,,
